09-05 17:47:10.266|INFO |GamesEditor:Game The Legend of Zelda: Tears of the Kingdom stopped after 114 seconds.
09-05 17:47:11.282|INFO |GamesEditor:Starting The Legend of Zelda: Tears of the Kingdom, 927e627f-2d39-4dee-b3b9-456dd7daf73e, 1a258126-755f-4886-b849-011728240643, 00000000-0000-0000-0000-000000000000
09-05 17:47:11.302|DEBUG|GamesEditor:Using generic controller to start emulated game.
09-05 17:47:11.302|DEBUG|ProcessStarter:Starting process: yuzu.exe, "D:\Games\Switch\Games\TOTK+%5B0100F2C0115B6000%5D%5Bv0%5D.xci", D:\Games\Switch\yuzu-windows-msvc-early-access, False
09-05 17:47:11.314|INFO |GamesEditor:Started The Legend of Zelda: Tears of the Kingdom game.
09-05 17:47:57.258|INFO |GamesEditor:Game The Legend of Zelda: Tears of the Kingdom stopped after 46 seconds.
09-05 17:49:33.342|INFO |PlayniteApplication:Shutting down application because of session ending.
09-05 17:49:33.459|DEBUG|PlayniteApplication:Releasing Playnite resources...
09-05 17:49:33.490|DEBUG|WindowFactory:Show dialog window Playnite.Windows.ProgressWindowFactory: 06657eca-1c87-4420-90a6-30951ac3506c
09-05 17:49:33.521|DEBUG|WindowFactory:Closing window Playnite.Windows.ProgressWindowFactory: 06657eca-1c87-4420-90a6-30951ac3506c, True
09-05 17:50:47.886|INFO |ProgramEntry:App arguments: '--hidesplashscreen,--startclosedtotray'
09-05 17:50:49.419|INFO |PlayniteApplication:Application started from 'C:\Users\han\AppData\Local\Playnite'
09-05 17:50:50.385|INFO |ExtensionFactory:Loaded plugin: IGDB metadata provider, version 2.6
09-05 17:50:50.455|DEBUG|WindowFactory:Show window Playnite.DesktopApp.Windows.MainWindowFactory: 22d83f03-fe13-4d60-bd50-bfc1ebfd03d0
09-05 17:50:50.625|DEBUG|GamesCollectionViewEntry:Reloading collection item view properties.
09-05 17:50:50.662|INFO |GameDatabase:Opening db C:\Users\han\AppData\Roaming\Playnite\library
09-05 17:50:50.662|DEBUG|WindowFactory:Show dialog window Playnite.Windows.ProgressWindowFactory: 9512bb76-28e4-4dba-8750-ff2ca2f8c02d
09-05 17:50:50.801|DEBUG|ExecutionTimer:--- Timer 'DatabaseLoadCollections', 134 ms to complete.
09-05 17:50:51.026|INFO |DatabaseStats:Completely recalculating database statistics...
09-05 17:50:51.040|DEBUG|WindowFactory:Closing window Playnite.Windows.ProgressWindowFactory: 9512bb76-28e4-4dba-8750-ff2ca2f8c02d, True
09-05 17:50:51.232|INFO |PlayniteApplication:Application 10.16.0.13735 started
09-05 17:50:51.466|INFO |MainViewModelBase:Importing emulated games from Config config.
09-05 17:50:51.470|ERROR|MainViewModelBase:Failed to import emulated games from config:

00000000-0000-0000-0000-000000000000

System.Exception: Emulator not found.
   在 Playnite.Emulators.GameScanner.Scan(CancellationToken cancelToken, List`1& newPlatforms, List`1& newRegions, Action`1 fileScanCallback) 位置 C:\projects\playnite\source\Playnite\Emulators\Scanner.cs:行号 189
   在 Playnite.ViewModels.MainViewModelBase.ImportEmulatedGames(GameScannerConfig scanConfig, CancellationToken token) 位置 C:\projects\playnite\source\Playnite\ViewModels\MainViewModelBase.cs:行号 711
09-05 17:50:51.522|INFO |MainViewModelBase:Starting Library Install Size scan
09-05 17:50:51.534|INFO |MainViewModelBase:Finished Library Install Size scan
